County	CountyCode	Year	YearCode	Deaths	Population	CrudeRate
"Autauga County, AL"	01001	1999	1999	.	.	.
"Autauga County, AL"	01001	2000	2000	.	.	.
"Autauga County, AL"	01001	2001	2001	.	.	.
"Autauga County, AL"	01001	2002	2002	.	.	.
"Autauga County, AL"	01001	2003	2003	.	.	.
"Autauga County, AL"	01001	2004	2004	.	.	.
"Autauga County, AL"	01001	2005	2005	.	.	.
"Autauga County, AL"	01001	2006	2006	.	.	.
"Autauga County, AL"	01001	2007	2007	.	.	.
"Autauga County, AL"	01001	2008	2008	.	.	.
"Autauga County, AL"	01001	2009	2009	.	.	.
"Autauga County, AL"	01001	2010	2010	.	.	.
"Autauga County, AL"	01001	2011	2011	.	.	.
"Autauga County, AL"	01001	2012	2012	.	.	.
"Baldwin County, AL"	01003	1999	1999	20	1805	11.08
"Baldwin County, AL"	01003	2000	2000	11	1813	6.07
"Baldwin County, AL"	01003	2001	2001	13	1870	6.95
"Baldwin County, AL"	01003	2002	2002	15	1741	8.62
"Baldwin County, AL"	01003	2003	2003	12	1860	6.45
"Baldwin County, AL"	01003	2004	2004	12	1872	6.41
"Baldwin County, AL"	01003	2005	2005	19	2099	9.05
"Baldwin County, AL"	01003	2006	2006	11	2245	4.9
"Baldwin County, AL"	01003	2007	2007	11	2281	4.82
"Baldwin County, AL"	01003	2008	2008	16	2289	6.99
"Baldwin County, AL"	01003	2009	2009	19	2125	8.94
"Baldwin County, AL"	01003	2010	2010	.	.	.
"Baldwin County, AL"	01003	2011	2011	14	2157	6.49
"Baldwin County, AL"	01003	2012	2012	.	.	.
"Barbour County, AL"	01005	1999	1999	.	.	.
"Barbour County, AL"	01005	2000	2000	.	.	.
"Barbour County, AL"	01005	2001	2001	.	.	.
"Barbour County, AL"	01005	2002	2002	.	.	.
"Barbour County, AL"	01005	2003	2003	.	.	.
"Barbour County, AL"	01005	2004	2004	.	.	.
"Barbour County, AL"	01005	2005	2005	.	.	.
"Barbour County, AL"	01005	2006	2006	.	.	.
"Barbour County, AL"	01005	2007	2007	.	.	.
"Barbour County, AL"	01005	2008	2008	.	.	.
"Barbour County, AL"	01005	2009	2009	.	.	.
"Barbour County, AL"	01005	2010	2010	.	.	.
"Barbour County, AL"	01005	2011	2011	.	.	.
"Barbour County, AL"	01005	2012	2012	.	.	.
"Bibb County, AL"	01007	1999	1999	.	.	.
"Bibb County, AL"	01007	2000	2000	.	.	.
"Bibb County, AL"	01007	2001	2001	.	.	.
"Bibb County, AL"	01007	2002	2002	.	.	.
"Bibb County, AL"	01007	2003	2003	.	.	.
"Bibb County, AL"	01007	2004	2004	.	.	.
"Bibb County, AL"	01007	2005	2005	.	.	.
"Bibb County, AL"	01007	2006	2006	.	.	.
"Bibb County, AL"	01007	2007	2007	.	.	.
"Bibb County, AL"	01007	2008	2008	.	.	.
"Bibb County, AL"	01007	2009	2009	.	.	.
"Bibb County, AL"	01007	2010	2010	.	.	.
"Bibb County, AL"	01007	2011	2011	.	.	.
"Bibb County, AL"	01007	2012	2012	.	.	.
"Blount County, AL"	01009	1999	1999	.	.	.
"Blount County, AL"	01009	2000	2000	.	.	.
"Blount County, AL"	01009	2001	2001	.	.	.
"Blount County, AL"	01009	2002	2002	.	.	.
"Blount County, AL"	01009	2003	2003	.	.	.
"Blount County, AL"	01009	2004	2004	.	.	.
"Blount County, AL"	01009	2005	2005	.	.	.
"Blount County, AL"	01009	2006	2006	.	.	.
"Blount County, AL"	01009	2007	2007	.	.	.
"Blount County, AL"	01009	2008	2008	.	.	.
"Blount County, AL"	01009	2009	2009	.	.	.
"Blount County, AL"	01009	2010	2010	.	.	.
"Blount County, AL"	01009	2011	2011	.	.	.
"Blount County, AL"	01009	2012	2012	.	.	.
"Bullock County, AL"	01011	1999	1999	.	.	.
"Bullock County, AL"	01011	2000	2000	.	.	.
"Bullock County, AL"	01011	2001	2001	.	.	.
"Bullock County, AL"	01011	2002	2002	.	.	.
"Bullock County, AL"	01011	2003	2003	.	.	.
"Bullock County, AL"	01011	2004	2004	.	.	.
"Bullock County, AL"	01011	2005	2005	.	.	.
"Bullock County, AL"	01011	2006	2006	.	.	.
"Bullock County, AL"	01011	2007	2007	.	.	.
"Bullock County, AL"	01011	2008	2008	.	.	.
"Bullock County, AL"	01011	2009	2009	.	.	.
"Bullock County, AL"	01011	2010	2010	.	.	.
"Bullock County, AL"	01011	2011	2011	.	.	.
"Bullock County, AL"	01011	2012	2012	.	.	.
"Butler County, AL"	01013	1999	1999	.	.	.
"Butler County, AL"	01013	2000	2000	.	.	.
"Butler County, AL"	01013	2001	2001	.	.	.
"Butler County, AL"	01013	2002	2002	.	.	.
"Butler County, AL"	01013	2003	2003	.	.	.
"Butler County, AL"	01013	2004	2004	.	.	.
"Butler County, AL"	01013	2005	2005	.	.	.
"Butler County, AL"	01013	2006	2006	.	.	.
"Butler County, AL"	01013	2007	2007	.	.	.
"Butler County, AL"	01013	2008	2008	.	.	.
"Butler County, AL"	01013	2009	2009	.	.	.
"Butler County, AL"	01013	2010	2010	.	.	.
"Butler County, AL"	01013	2011	2011	.	.	.
"Butler County, AL"	01013	2012	2012	.	.	.
"Calhoun County, AL"	01015	1999	1999	10	1586	6.31
"Calhoun County, AL"	01015	2000	2000	19	1528	12.43
"Calhoun County, AL"	01015	2001	2001	15	1550	9.68
"Calhoun County, AL"	01015	2002	2002	14	1455	9.62
"Calhoun County, AL"	01015	2003	2003	12	1424	8.43
"Calhoun County, AL"	01015	2004	2004	.	.	.
"Calhoun County, AL"	01015	2005	2005	13	1473	8.83
"Calhoun County, AL"	01015	2006	2006	10	1513	6.61
"Calhoun County, AL"	01015	2007	2007	11	1563	7.04
"Calhoun County, AL"	01015	2008	2008	13	1528	8.51
"Calhoun County, AL"	01015	2009	2009	17	1520	11.18
"Calhoun County, AL"	01015	2010	2010	14	1318	10.62
"Calhoun County, AL"	01015	2011	2011	.	.	.
"Calhoun County, AL"	01015	2012	2012	.	.	.
"Chambers County, AL"	01017	1999	1999	.	.	.
"Chambers County, AL"	01017	2000	2000	.	.	.
"Chambers County, AL"	01017	2001	2001	.	.	.
"Chambers County, AL"	01017	2002	2002	.	.	.
"Chambers County, AL"	01017	2003	2003	.	.	.
"Chambers County, AL"	01017	2004	2004	.	.	.
"Chambers County, AL"	01017	2005	2005	.	.	.
"Chambers County, AL"	01017	2006	2006	.	.	.
"Chambers County, AL"	01017	2007	2007	.	.	.
"Chambers County, AL"	01017	2008	2008	.	.	.
"Chambers County, AL"	01017	2009	2009	.	.	.
"Chambers County, AL"	01017	2010	2010	.	.	.
"Chambers County, AL"	01017	2011	2011	.	.	.
"Chambers County, AL"	01017	2012	2012	.	.	.
"Cherokee County, AL"	01019	1999	1999	.	.	.
"Cherokee County, AL"	01019	2000	2000	.	.	.
"Cherokee County, AL"	01019	2001	2001	.	.	.
"Cherokee County, AL"	01019	2002	2002	.	.	.
"Cherokee County, AL"	01019	2003	2003	.	.	.
"Cherokee County, AL"	01019	2004	2004	.	.	.
"Cherokee County, AL"	01019	2005	2005	.	.	.
"Cherokee County, AL"	01019	2006	2006	.	.	.
"Cherokee County, AL"	01019	2007	2007	.	.	.
"Cherokee County, AL"	01019	2008	2008	.	.	.
"Cherokee County, AL"	01019	2009	2009	.	.	.
"Cherokee County, AL"	01019	2010	2010	.	.	.
"Cherokee County, AL"	01019	2011	2011	.	.	.
"Cherokee County, AL"	01019	2012	2012	.	.	.
"Chilton County, AL"	01021	1999	1999	.	.	.
"Chilton County, AL"	01021	2000	2000	.	.	.
"Chilton County, AL"	01021	2001	2001	.	.	.
"Chilton County, AL"	01021	2002	2002	.	.	.
"Chilton County, AL"	01021	2003	2003	.	.	.
"Chilton County, AL"	01021	2004	2004	.	.	.
"Chilton County, AL"	01021	2005	2005	.	.	.
"Chilton County, AL"	01021	2006	2006	.	.	.
"Chilton County, AL"	01021	2007	2007	.	.	.
"Chilton County, AL"	01021	2008	2008	.	.	.
"Chilton County, AL"	01021	2009	2009	.	.	.
"Chilton County, AL"	01021	2010	2010	.	.	.
"Chilton County, AL"	01021	2011	2011	.	.	.
"Chilton County, AL"	01021	2012	2012	.	.	.
"Choctaw County, AL"	01023	1999	1999	.	.	.
"Choctaw County, AL"	01023	2000	2000	.	.	.
"Choctaw County, AL"	01023	2001	2001	.	.	.
"Choctaw County, AL"	01023	2002	2002	.	.	.
"Choctaw County, AL"	01023	2003	2003	.	.	.
"Choctaw County, AL"	01023	2004	2004	.	.	.
"Choctaw County, AL"	01023	2005	2005	.	.	.
"Choctaw County, AL"	01023	2006	2006	.	.	.
"Choctaw County, AL"	01023	2007	2007	.	.	.
"Choctaw County, AL"	01023	2008	2008	.	.	.
"Choctaw County, AL"	01023	2009	2009	.	.	.
"Choctaw County, AL"	01023	2010	2010	.	.	.
"Choctaw County, AL"	01023	2011	2011	.	.	.
"Choctaw County, AL"	01023	2012	2012	.	.	.
"Clarke County, AL"	01025	1999	1999	.	.	.
"Clarke County, AL"	01025	2000	2000	.	.	.
"Clarke County, AL"	01025	2001	2001	.	.	.
"Clarke County, AL"	01025	2002	2002	.	.	.
"Clarke County, AL"	01025	2003	2003	.	.	.
"Clarke County, AL"	01025	2004	2004	.	.	.
"Clarke County, AL"	01025	2005	2005	.	.	.
"Clarke County, AL"	01025	2006	2006	.	.	.
"Clarke County, AL"	01025	2007	2007	.	.	.
"Clarke County, AL"	01025	2008	2008	.	.	.
"Clarke County, AL"	01025	2009	2009	.	.	.
"Clarke County, AL"	01025	2010	2010	.	.	.
"Clarke County, AL"	01025	2011	2011	.	.	.
"Clarke County, AL"	01025	2012	2012	.	.	.
"Clay County, AL"	01027	1999	1999	.	.	.
"Clay County, AL"	01027	2000	2000	.	.	.
"Clay County, AL"	01027	2001	2001	.	.	.
"Clay County, AL"	01027	2002	2002	.	.	.
"Clay County, AL"	01027	2003	2003	.	.	.
"Clay County, AL"	01027	2004	2004	.	.	.
"Clay County, AL"	01027	2005	2005	.	.	.
"Clay County, AL"	01027	2006	2006	.	.	.
"Clay County, AL"	01027	2007	2007	.	.	.
"Clay County, AL"	01027	2008	2008	.	.	.
"Clay County, AL"	01027	2009	2009	.	.	.
"Clay County, AL"	01027	2010	2010	.	.	.
"Clay County, AL"	01027	2011	2011	.	.	.
"Clay County, AL"	01027	2012	2012	.	.	.
"Cleburne County, AL"	01029	1999	1999	.	.	.
"Cleburne County, AL"	01029	2000	2000	.	.	.
"Cleburne County, AL"	01029	2001	2001	.	.	.
"Cleburne County, AL"	01029	2002	2002	.	.	.
"Cleburne County, AL"	01029	2003	2003	.	.	.
"Cleburne County, AL"	01029	2004	2004	.	.	.
"Cleburne County, AL"	01029	2005	2005	.	.	.
"Cleburne County, AL"	01029	2006	2006	.	.	.
"Cleburne County, AL"	01029	2007	2007	.	.	.
"Cleburne County, AL"	01029	2008	2008	.	.	.
"Cleburne County, AL"	01029	2009	2009	.	.	.
"Cleburne County, AL"	01029	2010	2010	.	.	.
"Cleburne County, AL"	01029	2011	2011	.	.	.
"Cleburne County, AL"	01029	2012	2012	.	.	.
"Coffee County, AL"	01031	1999	1999	.	.	.
"Coffee County, AL"	01031	2000	2000	.	.	.
"Coffee County, AL"	01031	2001	2001	.	.	.
"Coffee County, AL"	01031	2002	2002	.	.	.
"Coffee County, AL"	01031	2003	2003	.	.	.
"Coffee County, AL"	01031	2004	2004	.	.	.
"Coffee County, AL"	01031	2005	2005	.	.	.
"Coffee County, AL"	01031	2006	2006	.	.	.
"Coffee County, AL"	01031	2007	2007	.	.	.
"Coffee County, AL"	01031	2008	2008	.	.	.
"Coffee County, AL"	01031	2009	2009	.	.	.
"Coffee County, AL"	01031	2010	2010	.	.	.
"Coffee County, AL"	01031	2011	2011	.	.	.
"Coffee County, AL"	01031	2012	2012	.	.	.
"Colbert County, AL"	01033	1999	1999	.	.	.
"Colbert County, AL"	01033	2000	2000	.	.	.
"Colbert County, AL"	01033	2001	2001	.	.	.
"Colbert County, AL"	01033	2002	2002	.	.	.
"Colbert County, AL"	01033	2003	2003	.	.	.
"Colbert County, AL"	01033	2004	2004	.	.	.
"Colbert County, AL"	01033	2005	2005	.	.	.
"Colbert County, AL"	01033	2006	2006	.	.	.
"Colbert County, AL"	01033	2007	2007	.	.	.
"Colbert County, AL"	01033	2008	2008	.	.	.
"Colbert County, AL"	01033	2009	2009	.	.	.
"Colbert County, AL"	01033	2010	2010	.	.	.
"Colbert County, AL"	01033	2011	2011	.	.	.
"Colbert County, AL"	01033	2012	2012	.	.	.
"Conecuh County, AL"	01035	1999	1999	.	.	.
"Conecuh County, AL"	01035	2000	2000	.	.	.
"Conecuh County, AL"	01035	2001	2001	.	.	.
"Conecuh County, AL"	01035	2002	2002	.	.	.
"Conecuh County, AL"	01035	2003	2003	.	.	.
"Conecuh County, AL"	01035	2004	2004	.	.	.
"Conecuh County, AL"	01035	2005	2005	.	.	.
"Conecuh County, AL"	01035	2006	2006	.	.	.
"Conecuh County, AL"	01035	2007	2007	.	.	.
"Conecuh County, AL"	01035	2008	2008	.	.	.
"Conecuh County, AL"	01035	2009	2009	.	.	.
"Conecuh County, AL"	01035	2010	2010	.	.	.
"Conecuh County, AL"	01035	2011	2011	.	.	.
"Conecuh County, AL"	01035	2012	2012	.	.	.
"Coosa County, AL"	01037	1999	1999	.	.	.
"Coosa County, AL"	01037	2000	2000	.	.	.
"Coosa County, AL"	01037	2001	2001	.	.	.
"Coosa County, AL"	01037	2002	2002	.	.	.
"Coosa County, AL"	01037	2003	2003	.	.	.
"Coosa County, AL"	01037	2004	2004	.	.	.
"Coosa County, AL"	01037	2005	2005	.	.	.
"Coosa County, AL"	01037	2006	2006	.	.	.
"Coosa County, AL"	01037	2007	2007	.	.	.
"Coosa County, AL"	01037	2008	2008	.	.	.
"Coosa County, AL"	01037	2009	2009	.	.	.
"Coosa County, AL"	01037	2010	2010	.	.	.
"Coosa County, AL"	01037	2011	2011	.	.	.
"Coosa County, AL"	01037	2012	2012	.	.	.
"Covington County, AL"	01039	1999	1999	.	.	.
"Covington County, AL"	01039	2000	2000	.	.	.
"Covington County, AL"	01039	2001	2001	.	.	.
"Covington County, AL"	01039	2002	2002	.	.	.
"Covington County, AL"	01039	2003	2003	.	.	.
"Covington County, AL"	01039	2004	2004	.	.	.
"Covington County, AL"	01039	2005	2005	.	.	.
"Covington County, AL"	01039	2006	2006	.	.	.
"Covington County, AL"	01039	2007	2007	.	.	.
"Covington County, AL"	01039	2008	2008	.	.	.
"Covington County, AL"	01039	2009	2009	.	.	.
"Covington County, AL"	01039	2010	2010	.	.	.
"Covington County, AL"	01039	2011	2011	.	.	.
"Covington County, AL"	01039	2012	2012	.	.	.
"Crenshaw County, AL"	01041	1999	1999	.	.	.
"Crenshaw County, AL"	01041	2000	2000	.	.	.
"Crenshaw County, AL"	01041	2001	2001	.	.	.
"Crenshaw County, AL"	01041	2002	2002	.	.	.
"Crenshaw County, AL"	01041	2003	2003	.	.	.
"Crenshaw County, AL"	01041	2004	2004	.	.	.
"Crenshaw County, AL"	01041	2005	2005	.	.	.
"Crenshaw County, AL"	01041	2006	2006	.	.	.
"Crenshaw County, AL"	01041	2007	2007	.	.	.
"Crenshaw County, AL"	01041	2008	2008	.	.	.
"Crenshaw County, AL"	01041	2009	2009	.	.	.
"Crenshaw County, AL"	01041	2010	2010	.	.	.
"Crenshaw County, AL"	01041	2011	2011	.	.	.
"Crenshaw County, AL"	01041	2012	2012	.	.	.
"Cullman County, AL"	01043	1999	1999	.	.	.
"Cullman County, AL"	01043	2000	2000	.	.	.
"Cullman County, AL"	01043	2001	2001	12	977	12.28
"Cullman County, AL"	01043	2002	2002	10	949	10.54
"Cullman County, AL"	01043	2003	2003	.	.	.
"Cullman County, AL"	01043	2004	2004	.	.	.
"Cullman County, AL"	01043	2005	2005	.	.	.
"Cullman County, AL"	01043	2006	2006	.	.	.
"Cullman County, AL"	01043	2007	2007	11	1121	9.81
"Cullman County, AL"	01043	2008	2008	11	1014	10.85
"Cullman County, AL"	01043	2009	2009	.	.	.
"Cullman County, AL"	01043	2010	2010	.	.	.
"Cullman County, AL"	01043	2011	2011	.	.	.
"Cullman County, AL"	01043	2012	2012	.	.	.
"Dale County, AL"	01045	1999	1999	.	.	.
"Dale County, AL"	01045	2000	2000	.	.	.
"Dale County, AL"	01045	2001	2001	.	.	.
"Dale County, AL"	01045	2002	2002	.	.	.
"Dale County, AL"	01045	2003	2003	.	.	.
"Dale County, AL"	01045	2004	2004	.	.	.
"Dale County, AL"	01045	2005	2005	.	.	.
"Dale County, AL"	01045	2006	2006	.	.	.
"Dale County, AL"	01045	2007	2007	.	.	.
"Dale County, AL"	01045	2008	2008	.	.	.
"Dale County, AL"	01045	2009	2009	10	792	12.63
"Dale County, AL"	01045	2010	2010	.	.	.
"Dale County, AL"	01045	2011	2011	.	.	.
"Dale County, AL"	01045	2012	2012	.	.	.
"Dallas County, AL"	01047	1999	1999	12	805	14.91
"Dallas County, AL"	01047	2000	2000	.	.	.
"Dallas County, AL"	01047	2001	2001	.	.	.
"Dallas County, AL"	01047	2002	2002	.	.	.
"Dallas County, AL"	01047	2003	2003	14	709	19.75
"Dallas County, AL"	01047	2004	2004	.	.	.
"Dallas County, AL"	01047	2005	2005	.	.	.
"Dallas County, AL"	01047	2006	2006	.	.	.
"Dallas County, AL"	01047	2007	2007	.	.	.
"Dallas County, AL"	01047	2008	2008	10	741	13.5
"Dallas County, AL"	01047	2009	2009	.	.	.
"Dallas County, AL"	01047	2010	2010	.	.	.
"Dallas County, AL"	01047	2011	2011	.	.	.
"Dallas County, AL"	01047	2012	2012	.	.	.
"DeKalb County, AL"	01049	1999	1999	.	.	.
"DeKalb County, AL"	01049	2000	2000	.	.	.
"DeKalb County, AL"	01049	2001	2001	10	964	10.37
"DeKalb County, AL"	01049	2002	2002	.	.	.
"DeKalb County, AL"	01049	2003	2003	.	.	.
"DeKalb County, AL"	01049	2004	2004	12	1017	11.8
"DeKalb County, AL"	01049	2005	2005	.	.	.
"DeKalb County, AL"	01049	2006	2006	.	.	.
"DeKalb County, AL"	01049	2007	2007	.	.	.
"DeKalb County, AL"	01049	2008	2008	.	.	.
"DeKalb County, AL"	01049	2009	2009	.	.	.
"DeKalb County, AL"	01049	2010	2010	.	.	.
"DeKalb County, AL"	01049	2011	2011	.	.	.
"DeKalb County, AL"	01049	2012	2012	.	.	.
"Elmore County, AL"	01051	1999	1999	.	.	.
"Elmore County, AL"	01051	2000	2000	10	982	10.18
"Elmore County, AL"	01051	2001	2001	.	.	.
"Elmore County, AL"	01051	2002	2002	.	.	.
"Elmore County, AL"	01051	2003	2003	10	936	10.68
"Elmore County, AL"	01051	2004	2004	.	.	.
"Elmore County, AL"	01051	2005	2005	.	.	.
"Elmore County, AL"	01051	2006	2006	.	.	.
"Elmore County, AL"	01051	2007	2007	.	.	.
"Elmore County, AL"	01051	2008	2008	.	.	.
"Elmore County, AL"	01051	2009	2009	.	.	.
"Elmore County, AL"	01051	2010	2010	.	.	.
"Elmore County, AL"	01051	2011	2011	.	.	.
"Elmore County, AL"	01051	2012	2012	.	.	.
"Escambia County, AL"	01053	1999	1999	.	.	.
"Escambia County, AL"	01053	2000	2000	.	.	.
"Escambia County, AL"	01053	2001	2001	.	.	.
"Escambia County, AL"	01053	2002	2002	.	.	.
"Escambia County, AL"	01053	2003	2003	.	.	.
"Escambia County, AL"	01053	2004	2004	.	.	.
"Escambia County, AL"	01053	2005	2005	.	.	.
"Escambia County, AL"	01053	2006	2006	.	.	.
"Escambia County, AL"	01053	2007	2007	.	.	.
"Escambia County, AL"	01053	2008	2008	.	.	.
"Escambia County, AL"	01053	2009	2009	.	.	.
"Escambia County, AL"	01053	2010	2010	.	.	.
"Escambia County, AL"	01053	2011	2011	.	.	.
"Escambia County, AL"	01053	2012	2012	.	.	.
"Etowah County, AL"	01055	1999	1999	12	1326	9.05
"Etowah County, AL"	01055	2000	2000	11	1384	7.95
"Etowah County, AL"	01055	2001	2001	14	1277	10.96
"Etowah County, AL"	01055	2002	2002	.	.	.
"Etowah County, AL"	01055	2003	2003	14	1268	11.04
"Etowah County, AL"	01055	2004	2004	.	.	.
"Etowah County, AL"	01055	2005	2005	11	1282	8.58
"Etowah County, AL"	01055	2006	2006	12	1298	9.24
"Etowah County, AL"	01055	2007	2007	13	1251	10.39
"Etowah County, AL"	01055	2008	2008	19	1267	15
"Etowah County, AL"	01055	2009	2009	10	1281	7.81
"Etowah County, AL"	01055	2010	2010	12	1236	9.71
"Etowah County, AL"	01055	2011	2011	22	1173	18.76
"Etowah County, AL"	01055	2012	2012	.	.	.
"Fayette County, AL"	01057	1999	1999	.	.	.
"Fayette County, AL"	01057	2000	2000	.	.	.
"Fayette County, AL"	01057	2001	2001	.	.	.
"Fayette County, AL"	01057	2002	2002	.	.	.
"Fayette County, AL"	01057	2003	2003	.	.	.
"Fayette County, AL"	01057	2004	2004	.	.	.
"Fayette County, AL"	01057	2005	2005	.	.	.
"Fayette County, AL"	01057	2006	2006	.	.	.
"Fayette County, AL"	01057	2007	2007	.	.	.
"Fayette County, AL"	01057	2008	2008	.	.	.
"Fayette County, AL"	01057	2009	2009	.	.	.
"Fayette County, AL"	01057	2010	2010	.	.	.
"Fayette County, AL"	01057	2011	2011	.	.	.
"Fayette County, AL"	01057	2012	2012	.	.	.
"Franklin County, AL"	01059	1999	1999	.	.	.
"Franklin County, AL"	01059	2000	2000	.	.	.
"Franklin County, AL"	01059	2001	2001	.	.	.
"Franklin County, AL"	01059	2002	2002	.	.	.
"Franklin County, AL"	01059	2003	2003	.	.	.
"Franklin County, AL"	01059	2004	2004	.	.	.
"Franklin County, AL"	01059	2005	2005	.	.	.
"Franklin County, AL"	01059	2006	2006	.	.	.
"Franklin County, AL"	01059	2007	2007	.	.	.
"Franklin County, AL"	01059	2008	2008	.	.	.
"Franklin County, AL"	01059	2009	2009	.	.	.
"Franklin County, AL"	01059	2010	2010	.	.	.
"Franklin County, AL"	01059	2011	2011	.	.	.
"Franklin County, AL"	01059	2012	2012	.	.	.
"Geneva County, AL"	01061	1999	1999	.	.	.
"Geneva County, AL"	01061	2000	2000	.	.	.
"Geneva County, AL"	01061	2001	2001	.	.	.
"Geneva County, AL"	01061	2002	2002	.	.	.
"Geneva County, AL"	01061	2003	2003	.	.	.
"Geneva County, AL"	01061	2004	2004	.	.	.
"Geneva County, AL"	01061	2005	2005	.	.	.
"Geneva County, AL"	01061	2006	2006	.	.	.
"Geneva County, AL"	01061	2007	2007	.	.	.
"Geneva County, AL"	01061	2008	2008	.	.	.
"Geneva County, AL"	01061	2009	2009	.	.	.
"Geneva County, AL"	01061	2010	2010	.	.	.
"Geneva County, AL"	01061	2011	2011	.	.	.
"Geneva County, AL"	01061	2012	2012	.	.	.
"Greene County, AL"	01063	1999	1999	.	.	.
"Greene County, AL"	01063	2000	2000	.	.	.
"Greene County, AL"	01063	2001	2001	.	.	.
"Greene County, AL"	01063	2002	2002	.	.	.
"Greene County, AL"	01063	2003	2003	.	.	.
"Greene County, AL"	01063	2004	2004	.	.	.
"Greene County, AL"	01063	2005	2005	.	.	.
"Greene County, AL"	01063	2006	2006	.	.	.
"Greene County, AL"	01063	2007	2007	.	.	.
"Greene County, AL"	01063	2008	2008	.	.	.
"Greene County, AL"	01063	2009	2009	.	.	.
"Greene County, AL"	01063	2010	2010	.	.	.
"Greene County, AL"	01063	2011	2011	.	.	.
"Greene County, AL"	01063	2012	2012	.	.	.
"Hale County, AL"	01065	1999	1999	.	.	.
"Hale County, AL"	01065	2000	2000	.	.	.
"Hale County, AL"	01065	2001	2001	.	.	.
"Hale County, AL"	01065	2002	2002	.	.	.
"Hale County, AL"	01065	2003	2003	.	.	.
"Hale County, AL"	01065	2004	2004	.	.	.
"Hale County, AL"	01065	2005	2005	.	.	.
"Hale County, AL"	01065	2006	2006	.	.	.
"Hale County, AL"	01065	2007	2007	.	.	.
"Hale County, AL"	01065	2008	2008	.	.	.
"Hale County, AL"	01065	2009	2009	.	.	.
"Hale County, AL"	01065	2010	2010	.	.	.
"Hale County, AL"	01065	2011	2011	.	.	.
"Hale County, AL"	01065	2012	2012	.	.	.
"Henry County, AL"	01067	1999	1999	.	.	.
"Henry County, AL"	01067	2000	2000	.	.	.
"Henry County, AL"	01067	2001	2001	.	.	.
"Henry County, AL"	01067	2002	2002	.	.	.
"Henry County, AL"	01067	2003	2003	.	.	.
"Henry County, AL"	01067	2004	2004	.	.	.
"Henry County, AL"	01067	2005	2005	.	.	.
"Henry County, AL"	01067	2006	2006	.	.	.
"Henry County, AL"	01067	2007	2007	.	.	.
"Henry County, AL"	01067	2008	2008	.	.	.
"Henry County, AL"	01067	2009	2009	.	.	.
"Henry County, AL"	01067	2010	2010	.	.	.
"Henry County, AL"	01067	2011	2011	.	.	.
"Henry County, AL"	01067	2012	2012	.	.	.
"Houston County, AL"	01069	1999	1999	11	1281	8.59
"Houston County, AL"	01069	2000	2000	12	1392	8.62
"Houston County, AL"	01069	2001	2001	.	.	.
"Houston County, AL"	01069	2002	2002	14	1243	11.26
"Houston County, AL"	01069	2003	2003	12	1362	8.81
"Houston County, AL"	01069	2004	2004	11	1247	8.82
"Houston County, AL"	01069	2005	2005	10	1286	7.78
"Houston County, AL"	01069	2006	2006	11	1382	7.96
"Houston County, AL"	01069	2007	2007	13	1355	9.59
"Houston County, AL"	01069	2008	2008	11	1389	7.92
"Houston County, AL"	01069	2009	2009	14	1424	9.83
"Houston County, AL"	01069	2010	2010	.	.	.
"Houston County, AL"	01069	2011	2011	11	1358	8.1
"Houston County, AL"	01069	2012	2012	16	1268	12.62
"Jackson County, AL"	01071	1999	1999	.	.	.
"Jackson County, AL"	01071	2000	2000	.	.	.
"Jackson County, AL"	01071	2001	2001	.	.	.
"Jackson County, AL"	01071	2002	2002	.	.	.
"Jackson County, AL"	01071	2003	2003	.	.	.
"Jackson County, AL"	01071	2004	2004	.	.	.
"Jackson County, AL"	01071	2005	2005	.	.	.
"Jackson County, AL"	01071	2006	2006	.	.	.
"Jackson County, AL"	01071	2007	2007	.	.	.
"Jackson County, AL"	01071	2008	2008	.	.	.
"Jackson County, AL"	01071	2009	2009	.	.	.
"Jackson County, AL"	01071	2010	2010	.	.	.
"Jackson County, AL"	01071	2011	2011	.	.	.
"Jackson County, AL"	01071	2012	2012	.	.	.
"Jefferson County, AL"	01073	1999	1999	114	9410	12.11
"Jefferson County, AL"	01073	2000	2000	115	9567	12.02
"Jefferson County, AL"	01073	2001	2001	120	9141	13.13
"Jefferson County, AL"	01073	2002	2002	96	8928	10.75
"Jefferson County, AL"	01073	2003	2003	95	9049	10.5
"Jefferson County, AL"	01073	2004	2004	91	9152	9.94
"Jefferson County, AL"	01073	2005	2005	112	9054	12.37
"Jefferson County, AL"	01073	2006	2006	111	9657	11.49
"Jefferson County, AL"	01073	2007	2007	121	9705	12.47
"Jefferson County, AL"	01073	2008	2008	127	9577	13.26
"Jefferson County, AL"	01073	2009	2009	81	10448	7.75
"Jefferson County, AL"	01073	2010	2010	107	8894	12.03
"Jefferson County, AL"	01073	2011	2011	89	8916	9.98
"Jefferson County, AL"	01073	2012	2012	104	9027	11.52
"Lamar County, AL"	01075	1999	1999	.	.	.
"Lamar County, AL"	01075	2000	2000	.	.	.
"Lamar County, AL"	01075	2001	2001	.	.	.
"Lamar County, AL"	01075	2002	2002	.	.	.
"Lamar County, AL"	01075	2003	2003	.	.	.
"Lamar County, AL"	01075	2004	2004	.	.	.
"Lamar County, AL"	01075	2005	2005	.	.	.
"Lamar County, AL"	01075	2006	2006	.	.	.
"Lamar County, AL"	01075	2007	2007	.	.	.
"Lamar County, AL"	01075	2008	2008	.	.	.
